0,2000-01-04
1,2000-01-05
2,2000-01-06
3,2000-01-07
4,2000-01-10
5,2000-01-11
6,2000-01-12
7,2000-01-13
8,2000-01-14
9,2000-01-17
10,2000-01-18
11,2000-01-19
12,2000-01-20
13,2000-01-21
14,2000-01-24
15,2000-01-25
16,2000-01-26
17,2000-01-27
18,2000-01-28
19,2000-01-31
20,2000-02-01
21,2000-02-02
22,2000-02-03
23,2000-02-04
24,2000-02-07
25,2000-02-08
26,2000-02-09
27,2000-02-10
28,2000-02-11
29,2000-02-14
30,2000-02-15
31,2000-02-16
32,2000-02-17
33,2000-02-18
34,2000-02-21
35,2000-02-22
36,2000-02-23
37,2000-02-24
38,2000-02-25
39,2000-02-28
40,2000-02-29
41,2000-03-01
42,2000-03-02
43,2000-03-03
44,2000-03-06
45,2000-03-07
46,2000-03-08
47,2000-03-09
48,2000-03-10
49,2000-03-13
50,2000-03-14
51,2000-03-15
52,2000-03-16
53,2000-03-17
54,2000-03-20
55,2000-03-21
56,2000-03-22
57,2000-03-23
58,2000-03-24
59,2000-03-27
60,2000-03-28
61,2000-03-29
62,2000-03-30
63,2000-03-31
64,2000-04-03
65,2000-04-04
66,2000-04-05
67,2000-04-06
68,2000-04-07
69,2000-04-10
70,2000-04-11
71,2000-04-12
72,2000-04-13
73,2000-04-14
74,2000-04-17
75,2000-04-18
76,2000-04-19
77,2000-04-20
78,2000-04-25
79,2000-04-26
80,2000-04-27
81,2000-04-28
82,2000-05-02
83,2000-05-03
84,2000-05-04
85,2000-05-05
86,2000-05-08
87,2000-05-09
88,2000-05-10
89,2000-05-11
90,2000-05-12
91,2000-05-15
92,2000-05-16
93,2000-05-17
94,2000-05-18
95,2000-05-19
96,2000-05-22
97,2000-05-23
98,2000-05-24
99,2000-05-25
100,2000-05-26
101,2000-05-30
102,2000-05-31
103,2000-06-01
104,2000-06-02
105,2000-06-05
106,2000-06-06
107,2000-06-07
108,2000-06-08
109,2000-06-09
110,2000-06-12
111,2000-06-13
112,2000-06-14
113,2000-06-15
114,2000-06-16
115,2000-06-19
116,2000-06-20
117,2000-06-21
118,2000-06-22
119,2000-06-23
120,2000-06-26
121,2000-06-27
122,2000-06-28
123,2000-06-29
124,2000-06-30
125,2000-07-03
126,2000-07-04
127,2000-07-05
128,2000-07-06
129,2000-07-07
130,2000-07-10
131,2000-07-11
132,2000-07-12
133,2000-07-13
134,2000-07-14
135,2000-07-17
136,2000-07-18
137,2000-07-19
138,2000-07-20
139,2000-07-21
140,2000-07-24
141,2000-07-25
142,2000-07-26
143,2000-07-27
144,2000-07-28
145,2000-07-31
146,2000-08-01
147,2000-08-02
148,2000-08-03
149,2000-08-04
150,2000-08-07
151,2000-08-08
152,2000-08-09
153,2000-08-10
154,2000-08-11
155,2000-08-14
156,2000-08-15
157,2000-08-16
158,2000-08-17
159,2000-08-18
160,2000-08-21
161,2000-08-22
162,2000-08-23
163,2000-08-24
164,2000-08-25
165,2000-08-29
166,2000-08-30
167,2000-08-31
168,2000-09-01
169,2000-09-04
170,2000-09-05
171,2000-09-06
172,2000-09-07
173,2000-09-08
174,2000-09-11
175,2000-09-12
176,2000-09-13
177,2000-09-14
178,2000-09-15
179,2000-09-18
180,2000-09-19
181,2000-09-20
182,2000-09-21
183,2000-09-22
184,2000-09-25
185,2000-09-26
186,2000-09-27
187,2000-09-28
188,2000-09-29
189,2000-10-02
190,2000-10-03
191,2000-10-04
192,2000-10-05
193,2000-10-06
194,2000-10-09
195,2000-10-10
196,2000-10-11
197,2000-10-12
198,2000-10-13
199,2000-10-16
200,2000-10-17
201,2000-10-18
202,2000-10-19
203,2000-10-20
204,2000-10-23
205,2000-10-24
206,2000-10-25
207,2000-10-26
208,2000-10-27
209,2000-10-30
210,2000-10-31
211,2000-11-01
212,2000-11-02
213,2000-11-03
214,2000-11-06
215,2000-11-07
216,2000-11-08
217,2000-11-09
218,2000-11-10
219,2000-11-13
220,2000-11-14
221,2000-11-15
222,2000-11-16
223,2000-11-17
224,2000-11-20
225,2000-11-21
226,2000-11-22
227,2000-11-23
228,2000-11-24
229,2000-11-27
230,2000-11-28
231,2000-11-29
232,2000-11-30
233,2000-12-01
234,2000-12-04
235,2000-12-05
236,2000-12-06
237,2000-12-07
238,2000-12-08
239,2000-12-11
240,2000-12-12
241,2000-12-13
242,2000-12-14
243,2000-12-15
244,2000-12-18
245,2000-12-19
246,2000-12-20
247,2000-12-21
248,2000-12-22
249,2000-12-27
250,2000-12-28
251,2000-12-29
252,2001-01-02
253,2001-01-03
254,2001-01-04
255,2001-01-05
256,2001-01-08
257,2001-01-09
258,2001-01-10
259,2001-01-11
260,2001-01-12
261,2001-01-15
262,2001-01-16
263,2001-01-17
264,2001-01-18
265,2001-01-19
266,2001-01-22
267,2001-01-23
268,2001-01-24
269,2001-01-25
270,2001-01-26
271,2001-01-29
272,2001-01-30
273,2001-01-31
274,2001-02-01
275,2001-02-02
276,2001-02-05
277,2001-02-06
278,2001-02-07
279,2001-02-08
280,2001-02-09
281,2001-02-12
282,2001-02-13
283,2001-02-14
284,2001-02-15
285,2001-02-16
286,2001-02-19
287,2001-02-20
288,2001-02-21
289,2001-02-22
290,2001-02-23
291,2001-02-26
292,2001-02-27
293,2001-02-28
294,2001-03-01
295,2001-03-02
296,2001-03-05
297,2001-03-06
298,2001-03-07
299,2001-03-08
300,2001-03-09
301,2001-03-12
302,2001-03-13
303,2001-03-14
304,2001-03-15
305,2001-03-16
306,2001-03-19
307,2001-03-20
308,2001-03-21
309,2001-03-22
310,2001-03-23
311,2001-03-26
312,2001-03-27
313,2001-03-28
314,2001-03-29
315,2001-03-30
316,2001-04-02
317,2001-04-03
318,2001-04-04
319,2001-04-05
320,2001-04-06
321,2001-04-09
322,2001-04-10
323,2001-04-11
324,2001-04-12
325,2001-04-17
326,2001-04-18
327,2001-04-19
328,2001-04-20
329,2001-04-23
330,2001-04-24
331,2001-04-25
332,2001-04-26
333,2001-04-27
334,2001-04-30
335,2001-05-01
336,2001-05-02
337,2001-05-03
338,2001-05-04
339,2001-05-08
340,2001-05-09
341,2001-05-10
342,2001-05-11
343,2001-05-14
344,2001-05-15
345,2001-05-16
346,2001-05-17
347,2001-05-18
348,2001-05-21
349,2001-05-22
350,2001-05-23
351,2001-05-24
352,2001-05-25
353,2001-05-28
354,2001-05-29
355,2001-05-30
356,2001-05-31
357,2001-06-01
358,2001-06-04
359,2001-06-05
360,2001-06-06
361,2001-06-07
362,2001-06-08
363,2001-06-11
364,2001-06-12
365,2001-06-13
366,2001-06-14
367,2001-06-15
368,2001-06-18
369,2001-06-19
370,2001-06-20
371,2001-06-21
372,2001-06-22
373,2001-06-25
374,2001-06-26
375,2001-06-27
376,2001-06-28
377,2001-06-29
378,2001-07-02
379,2001-07-03
380,2001-07-04
381,2001-07-05
382,2001-07-06
383,2001-07-09
384,2001-07-10
385,2001-07-11
386,2001-07-12
387,2001-07-13
388,2001-07-16
389,2001-07-17
390,2001-07-18
