Close_price,Timestamp
1545,12/7/2018
1685,12/20/2018
1582,1/30/2019
1591,2/1/2019
1686,2/8/2019
1778,2/19/2019
1703,3/8/2019
1810,4/10/2019
1829,4/24/2019
1783,5/29/2019
1782,6/6/2019
1836,6/11/2019
1836,6/13/2019
1796,7/4/2019
1842,7/24/2019
